Question,Answer
"<p style=""text-align: center;""><span class=""large"">就</span></p>","<p style=""text-align: center;""><span class=""large"">jiù </span></p><p style=""text-align: center;""><span class=""large"">就 </span></p><p style=""text-align: center;""><span class=""large"">adv.  used to indicate conclusion or resolution</span></p>"
"<p style=""text-align: center;""><span class=""large"">鱼</span></p>","<p style=""text-align: center;""><span class=""large"">yú </span></p><p style=""text-align: center;""><span class=""large"">鱼 </span></p><p style=""text-align: center;""><span class=""large"">n.  fish</span></p>"
"<p style=""text-align: center;""><span class=""large"">吧</span></p>","<p style=""text-align: center;""><span class=""large"">ba </span></p><p style=""text-align: center;""><span class=""large"">吧 </span></p><p style=""text-align: center;""><span class=""large"">part.  used at the end of a sentence to indicate consultation, suggestion, request or command</span></p>"
"<p style=""text-align: center;""><span class=""large"">件</span></p>","<p style=""text-align: center;""><span class=""large"">jiàn </span></p><p style=""text-align: center;""><span class=""large"">件 </span></p><p style=""text-align: center;""><span class=""large"">m.  (used for clothes among other items) piece</span></p>"
"<p style=""text-align: center;""><span class=""large"">还</span></p>","<p style=""text-align: center;""><span class=""large"">hái </span></p><p style=""text-align: center;""><span class=""large"">还 </span></p><p style=""text-align: center;""><span class=""large"">adv.  passably, fairly, rather</span></p>"
"<p style=""text-align: center;""><span class=""large"">可以</span></p>","<p style=""text-align: center;""><span class=""large"">kěyǐ </span></p><p style=""text-align: center;""><span class=""large"">可以 </span></p><p style=""text-align: center;""><span class=""large"">adj.  not bad</span></p>"
"<p style=""text-align: center;""><span class=""large"">不错</span></p>","<p style=""text-align: center;""><span class=""large"">búcuò </span></p><p style=""text-align: center;""><span class=""large"">不错 </span></p><p style=""text-align: center;""><span class=""large"">adj.  pretty good</span></p>"
"<p style=""text-align: center;""><span class=""large"">考试</span></p>","<p style=""text-align: center;""><span class=""large"">kǎoshì </span></p><p style=""text-align: center;""><span class=""large"">考试 </span></p><p style=""text-align: center;""><span class=""large"">n.  test, exam</span></p>"
"<p style=""text-align: center;""><span class=""large"">意思</span></p>","<p style=""text-align: center;""><span class=""large"">yìsi </span></p><p style=""text-align: center;""><span class=""large"">意思 </span></p><p style=""text-align: center;""><span class=""large"">n.  meaning</span></p>"
"<p style=""text-align: center;""><span class=""large"">咖啡</span></p>","<p style=""text-align: center;""><span class=""large"">kāfēi </span></p><p style=""text-align: center;""><span class=""large"">咖啡 </span></p><p style=""text-align: center;""><span class=""large"">n.  coffee</span></p>"
"<p style=""text-align: center;""><span class=""large"">对</span></p>","<p style=""text-align: center;""><span class=""large"">duì </span></p><p style=""text-align: center;""><span class=""large"">对 </span></p><p style=""text-align: center;""><span class=""large"">prep.  (used before a noun or pronoun) to, foradj.  right, correct</span></p>"
"<p style=""text-align: center;""><span class=""large"">以后</span></p>","<p style=""text-align: center;""><span class=""large"">yǐhòu </span></p><p style=""text-align: center;""><span class=""large"">以后 </span></p><p style=""text-align: center;""><span class=""large"">n.  after, afterwards, later</span></p>"
"<p style=""text-align: center;""><span class=""large"">门</span></p>","<p style=""text-align: center;""><span class=""large"">mén </span></p><p style=""text-align: center;""><span class=""large"">门 </span></p><p style=""text-align: center;""><span class=""large"">n.  door,gate</span></p>"
"<p style=""text-align: center;""><span class=""large"">外</span></p>","<p style=""text-align: center;""><span class=""large"">wài </span></p><p style=""text-align: center;""><span class=""large"">外 </span></p><p style=""text-align: center;""><span class=""large"">n.  outer,outside</span></p>"
"<p style=""text-align: center;""><span class=""large"">自行车</span></p>","<p style=""text-align: center;""><span class=""large"">zìxíngchē </span></p><p style=""text-align: center;""><span class=""large"">自行车 </span></p><p style=""text-align: center;""><span class=""large"">n.  bike</span></p>"
"<p style=""text-align: center;""><span class=""large"">羊肉</span></p>","<p style=""text-align: center;""><span class=""large"">yángròu </span></p><p style=""text-align: center;""><span class=""large"">羊肉 </span></p><p style=""text-align: center;""><span class=""large"">n.  mutton</span></p>"
"<p style=""text-align: center;""><span class=""large"">好吃</span></p>","<p style=""text-align: center;""><span class=""large"">hǎochī </span></p><p style=""text-align: center;""><span class=""large"">好吃 </span></p><p style=""text-align: center;""><span class=""large"">adj.  delicious,yummy</span></p>"
"<p style=""text-align: center;""><span class=""large"">面条</span></p>","<p style=""text-align: center;""><span class=""large"">miàntiáo </span></p><p style=""text-align: center;""><span class=""large"">面条 </span></p><p style=""text-align: center;""><span class=""large"">n.  noodles</span></p>"
"<p style=""text-align: center;""><span class=""large"">打篮球</span></p>","<p style=""text-align: center;""><span class=""large"">dǎ lánqiú </span></p><p style=""text-align: center;""><span class=""large"">打篮球 </span></p><p style=""text-align: center;""><span class=""large"">phrw.  to play basketball</span></p>"
"<p style=""text-align: center;""><span class=""large"">因为</span></p>","<p style=""text-align: center;""><span class=""large"">yīnwèi </span></p><p style=""text-align: center;""><span class=""large"">因为 </span></p><p style=""text-align: center;""><span class=""large"">conj.  because,since</span></p>"
"<p style=""text-align: center;""><span class=""large"">所以</span></p>","<p style=""text-align: center;""><span class=""large"">suǒyǐ </span></p><p style=""text-align: center;""><span class=""large"">所以 </span></p><p style=""text-align: center;""><span class=""large"">conj.  so,therefore</span></p>"
"<p style=""text-align: center;""><span class=""large"">游泳</span></p>","<p style=""text-align: center;""><span class=""large"">yóu yǒng </span></p><p style=""text-align: center;""><span class=""large"">游泳 </span></p><p style=""text-align: center;""><span class=""large"">v.  to swim</span></p>"
"<p style=""text-align: center;""><span class=""large"">经常</span></p>","<p style=""text-align: center;""><span class=""large"">jīngcháng </span></p><p style=""text-align: center;""><span class=""large"">经常 </span></p><p style=""text-align: center;""><span class=""large"">adv.  often,frequently</span></p>"
"<p style=""text-align: center;""><span class=""large"">公斤</span></p>","<p style=""text-align: center;""><span class=""large"">gōngjīn </span></p><p style=""text-align: center;""><span class=""large"">公斤 </span></p><p style=""text-align: center;""><span class=""large"">m.  kilogram</span></p>"
"<p style=""text-align: center;""><span class=""large"">姐姐</span></p>","<p style=""text-align: center;""><span class=""large"">jiějie </span></p><p style=""text-align: center;""><span class=""large"">姐姐 </span></p><p style=""text-align: center;""><span class=""large"">n.  elder sister</span></p>"
"<p style=""text-align: center;""><span class=""large"">教师</span></p>","<p style=""text-align: center;""><span class=""large"">jiàoshì </span></p><p style=""text-align: center;""><span class=""large"">教师 </span></p><p style=""text-align: center;""><span class=""large"">n.  classroom</span></p>"
"<p style=""text-align: center;""><span class=""large"">机场</span></p>","<p style=""text-align: center;""><span class=""large"">jīchǎng </span></p><p style=""text-align: center;""><span class=""large"">机场 </span></p><p style=""text-align: center;""><span class=""large"">n.  airport</span></p>"
"<p style=""text-align: center;""><span class=""large"">路</span></p>","<p style=""text-align: center;""><span class=""large"">lù </span></p><p style=""text-align: center;""><span class=""large"">路 </span></p><p style=""text-align: center;""><span class=""large"">n.  road,path,way</span></p>"
"<p style=""text-align: center;""><span class=""large"">离</span></p>","<p style=""text-align: center;""><span class=""large"">lí </span></p><p style=""text-align: center;""><span class=""large"">离 </span></p><p style=""text-align: center;""><span class=""large"">v.  to be away from</span></p>"
"<p style=""text-align: center;""><span class=""large"">公司</span></p>","<p style=""text-align: center;""><span class=""large"">gōngsī </span></p><p style=""text-align: center;""><span class=""large"">公司 </span></p><p style=""text-align: center;""><span class=""large"">n.  company, firm</span></p>"
"<p style=""text-align: center;""><span class=""large"">远</span></p>","<p style=""text-align: center;""><span class=""large"">yuǎn </span></p><p style=""text-align: center;""><span class=""large"">远 </span></p><p style=""text-align: center;""><span class=""large"">adj.  far,distant</span></p>"
"<p style=""text-align: center;""><span class=""large"">公共汽车</span></p>","<p style=""text-align: center;""><span class=""large"">gōnggòng qìchē </span></p><p style=""text-align: center;""><span class=""large"">公共汽车 </span></p><p style=""text-align: center;""><span class=""large"">n.  bus</span></p>"
"<p style=""text-align: center;""><span class=""large"">小时</span></p>","<p style=""text-align: center;""><span class=""large"">xiǎoshí </span></p><p style=""text-align: center;""><span class=""large"">小时 </span></p><p style=""text-align: center;""><span class=""large"">n.  hour</span></p>"
"<p style=""text-align: center;""><span class=""large"">慢</span></p>","<p style=""text-align: center;""><span class=""large"">màn </span></p><p style=""text-align: center;""><span class=""large"">慢 </span></p><p style=""text-align: center;""><span class=""large"">adj.  slow</span></p>"
"<p style=""text-align: center;""><span class=""large"">快</span></p>","<p style=""text-align: center;""><span class=""large"">kuài </span></p><p style=""text-align: center;""><span class=""large"">快 </span></p><p style=""text-align: center;""><span class=""large"">adj.  quick,fast</span></p>"
"<p style=""text-align: center;""><span class=""large"">过</span></p>","<p style=""text-align: center;""><span class=""large"">guò </span></p><p style=""text-align: center;""><span class=""large"">过 </span></p><p style=""text-align: center;""><span class=""large"">v. to pass (time), to spend (time)</span></p>"
"<p style=""text-align: center;""><span class=""large"">走</span></p>","<p style=""text-align: center;""><span class=""large"">zǒu </span></p><p style=""text-align: center;""><span class=""large"">走 </span></p><p style=""text-align: center;""><span class=""large"">v.  to walk</span></p>"
"<p style=""text-align: center;""><span class=""large"">到</span></p>","<p style=""text-align: center;""><span class=""large"">dào </span></p><p style=""text-align: center;""><span class=""large"">到 </span></p><p style=""text-align: center;""><span class=""large"">v.  to arrive,to reach</span></p>"
"<p style=""text-align: center;""><span class=""large"">在</span></p>","<p style=""text-align: center;""><span class=""large"">zài </span></p><p style=""text-align: center;""><span class=""large"">在 </span></p><p style=""text-align: center;""><span class=""large"">adv.  again, once more</span></p>"
"<p style=""text-align: center;""><span class=""large"">让</span></p>","<p style=""text-align: center;""><span class=""large"">ràng </span></p><p style=""text-align: center;""><span class=""large"">让 </span></p><p style=""text-align: center;""><span class=""large"">v.  to let, to allow</span></p>"
"<p style=""text-align: center;""><span class=""large"">告诉</span></p>","<p style=""text-align: center;""><span class=""large"">gàosù </span></p><p style=""text-align: center;""><span class=""large"">告诉 </span></p><p style=""text-align: center;""><span class=""large"">v.  to tell</span></p>"
"<p style=""text-align: center;""><span class=""large"">等</span></p>","<p style=""text-align: center;""><span class=""large"">děng </span></p><p style=""text-align: center;""><span class=""large"">等 </span></p><p style=""text-align: center;""><span class=""large"">v.  to wait, to await</span></p>"
"<p style=""text-align: center;""><span class=""large"">找</span></p>","<p style=""text-align: center;""><span class=""large"">zhǎo </span></p><p style=""text-align: center;""><span class=""large"">找 </span></p><p style=""text-align: center;""><span class=""large"">v.  to look for</span></p>"
"<p style=""text-align: center;""><span class=""large"">事情</span></p>","<p style=""text-align: center;""><span class=""large"">shìqing </span></p><p style=""text-align: center;""><span class=""large"">事情 </span></p><p style=""text-align: center;""><span class=""large"">n.  thing,matter,affair</span></p>"
"<p style=""text-align: center;""><span class=""large"">服务员</span></p>","<p style=""text-align: center;""><span class=""large"">fúwùyuán </span></p><p style=""text-align: center;""><span class=""large"">服务员 </span></p><p style=""text-align: center;""><span class=""large"">n.  attendant,waiter/waitress</span></p>"
"<p style=""text-align: center;""><span class=""large"">白</span></p>","<p style=""text-align: center;""><span class=""large"">bái </span></p><p style=""text-align: center;""><span class=""large"">白 </span></p><p style=""text-align: center;""><span class=""large"">adj.  white</span></p>"
"<p style=""text-align: center;""><span class=""large"">黑</span></p>","<p style=""text-align: center;""><span class=""large"">hēi </span></p><p style=""text-align: center;""><span class=""large"">黑 </span></p><p style=""text-align: center;""><span class=""large"">adj. black</span></p>"
"<p style=""text-align: center;""><span class=""large"">贵</span></p>","<p style=""text-align: center;""><span class=""large"">guì </span></p><p style=""text-align: center;""><span class=""large"">贵 </span></p><p style=""text-align: center;""><span class=""large"">adj. expensive</span></p>"
